Instance,Terminal,Layer,X location,Y location,Voltage
_132_,VGND,li1,28.7500,32.6400,0.000007
_131_,VGND,li1,48.9900,38.0800,0.000019
_130_,VGND,li1,40.7100,27.2000,0.000034
_129_,VGND,li1,36.1100,16.3200,0.000010
_128_,VGND,li1,10.3500,16.3200,0.000009
_127_,VGND,li1,43.0100,43.5200,0.000008
_126_,VGND,li1,42.0900,54.4000,0.000004
_125_,VGND,li1,24.6100,43.5200,0.000005
_124_,VGND,li1,39.3300,38.0800,0.000019
_123_,VGND,li1,26.9100,38.0800,0.000012
_122_,VGND,li1,30.5900,59.8400,0.000006
_121_,VGND,li1,15.4100,65.2800,0.000000
_120_,VGND,li1,27.3700,59.8400,0.000006
_119_,VGND,li1,7.5900,59.8400,0.000007
_118_,VGND,li1,16.7900,54.4000,0.000004
_117_,VGND,li1,13.1100,38.0800,0.000012
_116_,VGND,li1,20.9300,38.0800,0.000011
_115_,VGND,li1,13.1100,32.6400,0.000007
_114_,VGND,li1,22.7700,32.6400,0.000006
_113_,VGND,li1,58.1900,21.7600,0.000016
_112_,VGND,li1,57.7300,48.9600,0.000036
_111_,VGND,li1,53.1300,48.9600,0.000036
_110_,VGND,li1,43.0100,59.8400,0.000008
